,2012,2013,2014,2015,2016,2017,2018,2019
同济科技,2.3667,3.1634,4.0621,3.0386,3.4537,3.3386,3.511,7.8306
通化东宝,2.5075,7.0729999999999995,9.7878,14.5326,15.1056,17.8219,16.4237,14.9751
中炬高新,3.6399,6.1284,7.5468,6.3869,8.6976,10.0122,12.0696,13.258
宝丰能源,,,,,,,,12.6468
隆基股份,-1.3343,1.5362,5.3623,6.252000000000001,10.5582,13.6368,7.0762,11.2308
山东出版,,,,,,11.6601,10.5513,10.0291
恒立液压,7.6425,5.7887,2.256,1.3843,1.3612,6.7106,12.4663,16.5388
陕西煤业,,,3.2697,-2.6039999999999996,4.7563,15.7971,14.1005,13.4559
三六零,8.5567,7.8505,9.1457,8.3261,6.0269,0.5918,13.9224,18.8574
招商南油,,,,,,,,11.1826
新坐标,,,,,,21.4149,14.3432,16.0204
国检集团,,,,,12.7243,11.8617,14.262,13.7569
博通集成,,,,,,,,23.6383
昭衍新药,,,,,,9.9414,10.3912,13.9269
养元饮品,,,,,,,21.4256,17.7309
汇顶科技,,,,,37.1816,23.2391,15.2102,35.1274
迎驾贡酒,,,,11.6139,12.5386,11.5601,12.6599,13.9138
快克股份,,,,,20.2116,16.4196,16.282,15.8278
鸿远电子,,,,,,,,14.6181
银都股份,,,,,,14.0103,11.8937,12.1079
海天味业,,,23.5845,22.3092,22.7801,23.7015,23.9402,23.8598
华铁应急,,,,4.9797,3.8596,3.1269,2.2589,7.0465
天味食品,,,,,,,,16.8297
福蓉科技,,,,,,,,19.192
浙江鼎力,,,,15.8053,14.1905,13.6461,14.9862,16.3447
百傲化学,,,,,,14.2111,17.3035,29.4057
今世缘,,,16.323,13.7547,12.9884,13.3618,14.5563,15.6367
三美股份,,,,,,,,14.5229
基蛋生物,,,,,,22.7884,17.6696,19.5608
新天然气,,,,,13.1413,12.023,8.2062,9.4718
集友股份,,,,,,18.3883,13.1512,15.4753
吉比特,,,,,,25.379,25.6819,25.456
勘设股份,,,,,,10.9803,9.4909,8.7152
八方股份,,,,,,,,21.741999999999997
金石资源,,,,,,6.9835,10.0311,13.4705
思维列控,,,,15.5096,7.4964,4.7733,6.7941,20.5165
绝味食品,,,,,,19.3084,17.9902,17.0387
伟明环保,,,,9.9887,10.2889,13.8963,15.2634,15.3612
捷昌驱动,,,,,,,19.344,13.8662
苏利股份,,,,,17.8337,15.6944,18.9403,15.3517
地素时尚,,,,,,,21.5495,16.6646
口子窖,,,,14.0167,14.69,16.6636,18.5568,18.7554
麒盛科技,,,,,,,,15.654000000000002
艾迪精密,,,,,,17.0093,16.8873,15.7338
安图生物,,,,,25.2806,22.4352,23.7416,22.7643
亿嘉和,,,,,,,22.3832,19.0579
宁水集团,,,,,,,,16.8176
健友股份,,,,,,14.901,13.9263,14.2969
日辰股份,,,,,,,,19.4621
大元泵业,,,,,,19.9892,13.6821,12.6798
永安行,,,,,,27.0491,4.6983,15.3433
科博达,,,,,,,,16.0991
歌力思,,,,11.7962,10.0254,11.5563,12.159,11.4908
诚意药业,,,,,,13.3503,13.0822,14.5818
好太太,,,,,,19.1576,17.3971,15.7368
飞科电器,,,,,27.4096,27.6604,24.2681,18.4954
好莱客,,,,18.9303,18.4573,17.0322,14.1783,10.7895
克来机电,,,,,,9.62,9.692,11.3208
丸美股份,,,,,,,,18.4693
兆易创新,,,,,13.5981,18.7343,14.8652,13.3994
中电电机,,,8.131,5.3206,2.9094,3.7934,5.1635,11.2704
杭可科技,,,,,,,,9.4918
澜起科技,,,,,,,,15.5978
心脉医疗,,,,,,,,19.9022
乐鑫科技,,,,,,,,15.0776
南微医学,,,,,,,,16.3951
天宜上佳,,,,,,,,13.821
柏楚电子,,,,,,,,19.0307
卓越新能,,,,,,,,14.647
建龙微纳,,,,,,,,9.7581
祥生医疗,,,,,,,,13.0275
华熙生物,,,,,,,,16.6021
嘉元科技,,,,,,,,17.9828
