TimeStamp,ASP,EQ,free_tw
2024-01-26T08:40:31.346,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:31.346,ASP-1732-Disp_1,L2_LO_UL_0,4481
2024-01-26T08:40:31.500,ASP-1732-Disp_1,L2_LO_UL_0,4481
2024-01-26T08:40:31.500,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:32.013,ASP-1732-Disp_1,L2_LO_DL_RCV0,4486
2024-01-26T08:40:32.013,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:32.109,ASP-1732-Disp_1,L2_LO_DL_RCV0,4487
2024-01-26T08:40:32.149,ASP-1732-Disp_1,L2_LO_DL_RCV0,4488
2024-01-26T08:40:32.464,ASP-1732-Disp_1,L2_LO_DL_RCV0,4488
2024-01-26T08:40:32.464,ASP-1732-Disp_1,L2_LO_UL_0,4480
2024-01-26T08:40:33.068,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:34.256,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:34.329,ASP-1732-Disp_1,L2_LO_DL_RCV0,4486
2024-01-26T08:40:34.329,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:34.630,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:34.660,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:34.699,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:34.749,ASP-1732-Disp_1,L2_LO_DL_RCV0,4485
2024-01-26T08:40:34.749,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:35.950,ASP-1732-Disp_1,L2_LO_UL_0,4474
2024-01-26T08:40:35.950,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
2024-01-26T08:40:36.256,ASP-1732-Disp_1,L2_LO_DL_RCV0,4472
2024-01-26T08:40:36.266,ASP-1732-Disp_1,L2_LO_DL_RCV0,4473
2024-01-26T08:40:36.266,ASP-1732-Disp_1,L2_LO_UL_0,4465
2024-01-26T08:40:36.292,ASP-1732-Disp_1,L2_LO_UL_0,4465
2024-01-26T08:40:36.292,ASP-1732-Disp_1,L2_LO_DL_RCV0,4473
2024-01-26T08:40:36.641,ASP-1732-Disp_1,L2_LO_UL_0,4465
2024-01-26T08:40:37.416,ASP-1732-Disp_1,L2_LO_DL_RCV0,4482
2024-01-26T08:40:37.416,ASP-1732-Disp_1,L2_LO_UL_0,4474
2024-01-26T08:40:37.466,ASP-1732-Disp_1,L2_LO_DL_RCV0,4484
2024-01-26T08:40:37.466,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:37.729,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:37.769,ASP-1732-Disp_1,L2_LO_UL_0,4474
2024-01-26T08:40:37.769,ASP-1732-Disp_1,L2_LO_DL_RCV0,4482
2024-01-26T08:40:37.849,ASP-1732-Disp_1,L2_LO_UL_0,4473
2024-01-26T08:40:37.849,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
2024-01-26T08:40:37.854,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
2024-01-26T08:40:37.891,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:37.891,ASP-1732-Disp_1,L2_LO_UL_0,4475
2024-01-26T08:40:37.950,ASP-1732-Disp_1,L2_LO_UL_0,4475
2024-01-26T08:40:37.950,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:38.109,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:38.749,ASP-1732-Disp_1,L2_LO_UL_0,4471
2024-01-26T08:40:38.749,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
2024-01-26T08:40:39.672,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:39.880,ASP-1732-Disp_1,L2_LO_UL_0,4470
2024-01-26T08:40:40.973,ASP-1732-Disp_1,L2_LO_UL_0,4471
2024-01-26T08:40:40.973,ASP-1732-Disp_1,L2_LO_DL_RCV0,4484
2024-01-26T08:40:41.311,ASP-1732-Disp_1,L2_LO_DL_RCV0,4487
2024-01-26T08:40:41.311,ASP-1732-Disp_1,L2_LO_UL_0,4474
2024-01-26T08:40:41.491,ASP-1732-Disp_1,L2_LO_UL_0,4474
2024-01-26T08:40:41.509,ASP-1732-Disp_1,L2_LO_UL_0,4472
2024-01-26T08:40:41.509,ASP-1732-Disp_1,L2_LO_DL_RCV0,4485
2024-01-26T08:40:41.523,ASP-1732-Disp_1,L2_LO_UL_0,4472
2024-01-26T08:40:41.809,ASP-1732-Disp_1,L2_LO_DL_RCV0,4486
2024-01-26T08:40:41.809,ASP-1732-Disp_1,L2_LO_UL_0,4473
2024-01-26T08:40:41.888,ASP-1732-Disp_1,L2_LO_DL_RCV0,4487
2024-01-26T08:40:42.669,ASP-1732-Disp_1,L2_LO_DL_RCV0,4492
2024-01-26T08:40:42.831,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:42.831,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:42.846,ASP-1732-Disp_1,L2_LO_DL_RCV0,4492
2024-01-26T08:40:42.846,ASP-1732-Disp_1,L2_LO_UL_0,4479
2024-01-26T08:40:42.849,ASP-1732-Disp_1,L2_LO_DL_RCV0,4492
2024-01-26T08:40:42.929,ASP-1732-Disp_1,L2_LO_UL_0,4478
2024-01-26T08:40:42.929,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:42.950,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:42.950,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:43.033,ASP-1732-Disp_1,L2_LO_DL_RCV0,4489
2024-01-26T08:40:43.033,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:43.898,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:43.898,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:43.949,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:43.955,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:43.955,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:43.989,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:43.989,ASP-1732-Disp_1,L2_LO_DL_RCV0,4490
2024-01-26T08:40:44.087,ASP-1732-Disp_1,L2_LO_DL_RCV0,4490
2024-01-26T08:40:44.087,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:44.110,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:44.110,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:44.233,ASP-1732-Disp_1,L2_LO_UL_0,4477
2024-01-26T08:40:44.233,ASP-1732-Disp_1,L2_LO_DL_RCV0,4491
2024-01-26T08:40:44.298,ASP-1732-Disp_1,L2_LO_UL_0,4476
2024-01-26T08:40:44.298,ASP-1732-Disp_1,L2_LO_DL_RCV0,4490
2024-01-26T08:40:44.298,ASP-1732-Disp_1,L2_LO_DL_RCV0,4490
2024-01-26T08:40:45.234,ASP-1732-Disp_1,L2_LO_DL_RCV0,4486
2024-01-26T08:40:45.234,ASP-1732-Disp_1,L2_LO_UL_0,4472
2024-01-26T08:40:45.249,ASP-1732-Disp_1,L2_LO_UL_0,4471
2024-01-26T08:40:45.249,ASP-1732-Disp_1,L2_LO_DL_RCV0,4485
2024-01-26T08:40:45.449,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:45.449,ASP-1732-Disp_1,L2_LO_UL_0,4468
2024-01-26T08:40:45.529,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:45.529,ASP-1732-Disp_1,L2_LO_UL_0,4468
2024-01-26T08:40:45.953,ASP-1732-Disp_1,L2_LO_UL_0,4464
2024-01-26T08:40:45.954,ASP-1732-Disp_1,L2_LO_DL_RCV0,4477
2024-01-26T08:40:46.018,ASP-1732-Disp_1,L2_LO_UL_0,4461
2024-01-26T08:40:46.018,ASP-1732-Disp_1,L2_LO_DL_RCV0,4476
2024-01-26T08:40:46.028,ASP-1732-Disp_1,L2_LO_DL_RCV0,4475
2024-01-26T08:40:46.029,ASP-1732-Disp_1,L2_LO_DL_RCV0,4474
2024-01-26T08:40:46.029,ASP-1732-Disp_1,L2_LO_UL_0,4459
2024-01-26T08:40:46.089,ASP-1732-Disp_1,L2_LO_UL_0,4458
2024-01-26T08:40:46.216,ASP-1732-Disp_1,L2_LO_UL_0,4457
2024-01-26T08:40:46.216,ASP-1732-Disp_1,L2_LO_DL_RCV0,4472
2024-01-26T08:40:46.293,ASP-1732-Disp_1,L2_LO_DL_RCV0,4473
2024-01-26T08:40:46.293,ASP-1732-Disp_1,L2_LO_UL_0,4458
2024-01-26T08:40:46.996,ASP-1732-Disp_1,L2_LO_UL_0,4463
2024-01-26T08:40:47.089,ASP-1732-Disp_1,L2_LO_UL_0,4463
2024-01-26T08:40:47.129,ASP-1732-Disp_1,L2_LO_UL_0,4463
2024-01-26T08:40:47.129,ASP-1732-Disp_1,L2_LO_DL_RCV0,4479
2024-01-26T08:40:47.129,ASP-1732-Disp_1,L2_LO_UL_0,4464
2024-01-26T08:40:47.249,ASP-1732-Disp_1,L2_LO_UL_0,4464
2024-01-26T08:40:47.249,ASP-1732-Disp_1,L2_LO_DL_RCV0,4479
2024-01-26T08:40:47.406,ASP-1732-Disp_1,L2_LO_UL_0,4464
2024-01-26T08:40:47.469,ASP-1732-Disp_1,L2_LO_UL_0,4465
2024-01-26T08:40:47.869,ASP-1732-Disp_1,L2_LO_UL_0,4465
2024-01-26T08:40:47.869,ASP-1732-Disp_1,L2_LO_DL_RCV0,4480
2024-01-26T08:40:47.989,ASP-1732-Disp_1,L2_LO_DL_RCV0,4478
2024-01-26T08:40:47.989,ASP-1732-Disp_1,L2_LO_UL_0,4463
2024-01-26T08:40:48.809,ASP-1732-Disp_1,L2_LO_DL_RCV0,4475
2024-01-26T08:40:48.809,ASP-1732-Disp_1,L2_LO_UL_0,4461
2024-01-26T08:40:48.984,ASP-1732-Disp_1,L2_LO_DL_RCV0,4474
2024-01-26T08:40:48.984,ASP-1732-Disp_1,L2_LO_UL_0,4459
2024-01-26T08:40:49.078,ASP-1732-Disp_1,L2_LO_DL_RCV0,4476
2024-01-26T08:40:49.078,ASP-1732-Disp_1,L2_LO_UL_0,4461
2024-01-26T08:40:49.089,ASP-1732-Disp_1,L2_LO_UL_0,4462
2024-01-26T08:40:49.094,ASP-1732-Disp_1,L2_LO_UL_0,4461
2024-01-26T08:40:49.094,ASP-1732-Disp_1,L2_LO_DL_RCV0,4477
2024-01-26T08:40:50.090,ASP-1732-Disp_1,L2_LO_DL_RCV0,4483
2024-01-26T08:40:50.090,ASP-1732-Disp_1,L2_LO_UL_0,4467
2024-01-26T08:40:50.109,ASP-1732-Disp_1,L2_LO_DL_RCV0,4484
2024-01-26T08:40:50.469,ASP-1732-Disp_1,L2_LO_DL_RCV0,4487
2024-01-26T08:40:50.669,ASP-1732-Disp_1,L2_LO_UL_0,4471
2024-01-26T08:40:50.889,ASP-1732-Disp_1,L2_LO_UL_0,4471
2024-01-26T08:40:51.096,ASP-1732-Disp_1,L2_LO_UL_0,4464
2024-01-26T08:40:51.127,ASP-1732-Disp_1,L2_LO_DL_RCV0,4481
